# center mu_1 mu_2 mu_3 mu_4 mu_5
-8.500139993273829742e-01 -4.078735240359014469e+00 -4.084075109539904602e+00 -4.038524246339336266e+00 -4.063830181418239818e+00 -3.977571771919192312e+00
-8.320168215376113618e-01 -4.078415794387026949e+00 -4.083766275532548562e+00 -4.038042476954813331e+00 -4.063430331786682892e+00 -3.977100308385267624e+00
-8.140232699530186578e-01 -4.078442494006041308e+00 -4.083848912274273601e+00 -4.038077876669300181e+00 -4.063371976134741992e+00 -3.977041798692590557e+00
-7.960220613711835869e-01 -4.079407918607520500e+00 -4.084881485135907653e+00 -4.039135840496811625e+00 -4.064386807452571304e+00 -3.978022478950790308e+00
-7.780232836476583813e-01 -4.079348264246710265e+00 -4.084808908893911905e+00 -4.039170809752033797e+00 -4.064406502185286207e+00 -3.978066896108053641e+00
-7.600327267674099607e-01 -4.079306642052921816e+00 -4.084828196494667552e+00 -4.039258182529776420e+00 -4.064341274665800086e+00 -3.978071943047969850e+00
-7.420663887797442904e-01 -4.079333837307208555e+00 -4.084816011555389537e+00 -4.039229677859537126e+00 -4.064351539035843786e+00 -3.978081914829194599e+00
-7.241059335391113461e-01 -4.079593201919398560e+00 -4.084996575142294972e+00 -4.039343164184023394e+00 -4.064485811021380179e+00 -3.978196734147435354e+00
-7.061659857789325256e-01 -4.079767178367634806e+00 -4.085141662217326441e+00 -4.039557705981078328e+00 -4.064810236829383250e+00 -3.978537677081523949e+00
-6.882224025275303081e-01 -4.079755256762379823e+00 -4.085111563680575486e+00 -4.039569988238716824e+00 -4.064810734296744776e+00 -3.978559241590241768e+00
-6.702655009859453950e-01 -4.079754858352258928e+00 -4.085157238391083467e+00 -4.039616391218458169e+00 -4.064772070641923918e+00 -3.978517242317613167e+00
-6.523082668773447779e-01 -4.079149594162436721e+00 -4.084559253435944726e+00 -4.039012247236055231e+00 -4.064153053128885418e+00 -3.977892743368759199e+00
-6.343854250680067697e-01 -4.078087587269411785e+00 -4.083453059473304947e+00 -4.037891452403616910e+00 -4.063122007728292573e+00 -3.976882629972335881e+00
-6.164640000786634211e-01 -4.077687361800250265e+00 -4.083019018354455909e+00 -4.037445603207278744e+00 -4.062768743553274220e+00 -3.976495654064275520e+00
-5.985842638803987592e-01 -4.077532646702536567e+00 -4.082928749020172887e+00 -4.037363652674178738e+00 -4.062535789620355331e+00 -3.976324125941562482e+00
-5.806990824227260539e-01 -4.077131819269739665e+00 -4.082488469937146647e+00 -4.036902680823227563e+00 -4.062197475610709319e+00 -3.975942213288473859e+00
-5.628164399313643207e-01 -4.077205559493914500e+00 -4.082557195209989942e+00 -4.036920870945990281e+00 -4.062289932302246775e+00 -3.975946944418415452e+00
-5.449470920855116196e-01 -4.076819678726097074e+00 -4.082150855987253024e+00 -4.036527100961398773e+00 -4.061843475199522935e+00 -3.975584667423957885e+00
-5.270690447192030170e-01 -4.076791913284164792e+00 -4.082082871560555049e+00 -4.036443789120576220e+00 -4.061832984364879273e+00 -3.975496431694001576e+00
-5.091341564352720450e-01 -4.077632676578651250e+00 -4.082991578870005966e+00 -4.037411217918568163e+00 -4.062608794040103000e+00 -3.976336767269252892e+00
-4.912027065748447718e-01 -4.077432360741113371e+00 -4.082852548643542079e+00 -4.037293887284288729e+00 -4.062453805558147835e+00 -3.976190895031431083e+00
-4.732633422747816176e-01 -4.077417367378069812e+00 -4.082913452404559607e+00 -4.037284748186160677e+00 -4.062323423021519275e+00 -3.976025247124400419e+00
-4.553820000637266996e-01 -4.077153273860200322e+00 -4.082730416649253513e+00 -4.037088032668536997e+00 -4.062049697510156321e+00 -3.975689000015480090e+00
-4.374985928636598853e-01 -4.077089658273764350e+00 -4.082721630274122049e+00 -4.037189853484075108e+00 -4.062003313643450575e+00 -3.975711492880384501e+00
-4.196167588908608082e-01 -4.076930609987262422e+00 -4.082536017942850037e+00 -4.036939761248346414e+00 -4.061806336767649128e+00 -3.975468815235115638e+00
-4.015422282116357100e-01 -4.076913835497466110e+00 -4.082526527334072952e+00 -4.036962809832513877e+00 -4.061804343031089282e+00 -3.975473400067118579e+00
-3.833727611779764732e-01 -4.076974797228177572e+00 -4.082609655673447691e+00 -4.037096194097365753e+00 -4.062095569893934943e+00 -3.975607677458479206e+00
-3.652050169526547263e-01 -4.077897257098102912e+00 -4.083497445471181209e+00 -4.037898481604661249e+00 -4.062973235788846615e+00 -3.976448286194498305e+00
-3.470316534482478232e-01 -4.077904775863584241e+00 -4.083496935749669987e+00 -4.037966429611289598e+00 -4.063032937710554293e+00 -3.976586622895979861e+00
-3.288345680793925419e-01 -4.077691090742940894e+00 -4.083262166960215822e+00 -4.037760048834220683e+00 -4.062854840908589615e+00 -3.976393489819439964e+00
-3.105813349403009349e-01 -4.077280909793449482e+00 -4.082817792381488786e+00 -4.037192102349980161e+00 -4.062460914359020236e+00 -3.975921726806063816e+00
-2.766039413710837946e-01 -4.077119803608025173e+00 -4.082635204638465964e+00 -4.037017855493343355e+00 -4.062345422374001203e+00 -3.975811506550921859e+00
-2.426514519720978924e-01 -4.076696396077883477e+00 -4.082184567428608801e+00 -4.036584719200390303e+00 -4.062021200342556426e+00 -3.975430518797268498e+00
-2.241591852158700826e-01 -4.076681396807905422e+00 -4.082173983712955589e+00 -4.036598444236492611e+00 -4.062014715492209049e+00 -3.975451656467948514e+00
-2.057575363618103781e-01 -4.075642946825660751e+00 -4.081065932407829777e+00 -4.035426846180061311e+00 -4.061029195285777327e+00 -3.974407530955285317e+00
-1.875071579218094420e-01 -4.075623051121292306e+00 -4.081018338496534170e+00 -4.035430116087725949e+00 -4.061053493321538532e+00 -3.974455437867519425e+00
-1.692651057041111851e-01 -4.075941295809977660e+00 -4.081278271399254365e+00 -4.035557581421639561e+00 -4.061376604307727511e+00 -3.974696326101827104e+00
-1.509934765853289673e-01 -4.076058701637794712e+00 -4.081401974130709931e+00 -4.035691462984606126e+00 -4.061583388328068978e+00 -3.974835316117288020e+00
-1.327389438492602436e-01 -4.075748098808641195e+00 -4.081071715744327477e+00 -4.035417624587015695e+00 -4.061382132692234137e+00 -3.974656298033515167e+00
-1.146087833874301493e-01 -4.075741729575916850e+00 -4.081016644555690576e+00 -4.035373719537074244e+00 -4.061437561537467822e+00 -3.974703745817319778e+00
-9.648239372402804548e-02 -4.074669280108072833e+00 -4.079968750247578768e+00 -4.034356401716577167e+00 -4.060363791989928473e+00 -3.973598590398405683e+00
-7.826376106741489425e-02 -4.074660588033667707e+00 -4.079863270080986482e+00 -4.034255354231290447e+00 -4.060463567633089355e+00 -3.973721242447674662e+00
-6.003674793328982184e-02 -4.073779973257228626e+00 -4.078961793462120511e+00 -4.033363308568394423e+00 -4.059695654596930048e+00 -3.972801226601958113e+00
-4.183501954546482715e-02 -4.073719242229012494e+00 -4.078914985079970634e+00 -4.033454486665617900e+00 -4.059791844807782546e+00 -3.973009449376716962e+00
-2.362194158295083043e-02 -4.073695445866259313e+00 -4.078857382902604911e+00 -4.033386924579861699e+00 -4.059868238605276680e+00 -3.973075678265203248e+00
-5.430938362395458865e-03 -4.073419782045055726e+00 -4.078647580076419032e+00 -4.033177867642330661e+00 -4.059530350206258298e+00 -3.972799679651133342e+00
1.275621279143960250e-02 -4.073192389925345935e+00 -4.078447485978355047e+00 -4.032905808892897959e+00 -4.059217142465461059e+00 -3.972491862971523346e+00
3.091861848175381233e-02 -4.073093984159593894e+00 -4.078249848049074089e+00 -4.032677353846322532e+00 -4.059124467097537270e+00 -3.972396656047353591e+00
4.910745885981609993e-02 -4.073193145595463527e+00 -4.078263914184608652e+00 -4.032568680151748630e+00 -4.059135699606235548e+00 -3.972345340645396572e+00
6.728138733509317349e-02 -4.073266729340837777e+00 -4.078272516700653938e+00 -4.032472600908470817e+00 -4.059194227337425964e+00 -3.972249660870224464e+00
8.541623936908689096e-02 -4.072226233141151397e+00 -4.077307614042547712e+00 -4.031540656407711865e+00 -4.058142216510042921e+00 -3.971201533214808954e+00
1.035229875099539787e-01 -4.072201733723597172e+00 -4.077263679694729248e+00 -4.031537819112195109e+00 -4.058168406889372193e+00 -3.971259796505333561e+00
1.216096501668035568e-01 -4.072600853456796344e+00 -4.077693435154357005e+00 -4.032057876042162370e+00 -4.058580995280994586e+00 -3.971836263360171149e+00
1.396399085993000611e-01 -4.072147336967418596e+00 -4.077141404183780793e+00 -4.031516220445956478e+00 -4.058200116222922205e+00 -3.971481908632899405e+00
1.576661420436507588e-01 -4.072232117303939525e+00 -4.077208828063941581e+00 -4.031515580010007760e+00 -4.058266359046440286e+00 -3.971482937811470215e+00
1.756830480026536356e-01 -4.072210571976890847e+00 -4.077258156132380407e+00 -4.031564698808635328e+00 -4.058254011140951079e+00 -3.971413551683444787e+00
1.936837124034138657e-01 -4.071275446918481755e+00 -4.076315888653102348e+00 -4.030556606252755358e+00 -4.057170427260500034e+00 -3.970324142907740494e+00
2.116736737454598116e-01 -4.070454032461469751e+00 -4.075400703109073319e+00 -4.029576642479637094e+00 -4.056335707369415289e+00 -3.969515305406255301e+00
